areaName,Borough,areaType,Month,Sales_daysOnMarket,Sales_totalInventory,Sales_medianAskingPrice,Sales_priceCutShare,Sales_medianSalesPrice,Sales_recordedSalesVolume,Sales_saleListRatio,Rental_Inventory,Rental_Median_Asking_Rent,Rental_Discount_Share_Rent
Bronx,Bronx,borough,2010-01,,575,165,0.082,310000.0,229,0.909,165,1600.0,0.036
Bronx,Bronx,borough,2010-02,87.0,598,183,0.062,292500.0,216,0.881,183,1600.0,0.027
Bronx,Bronx,borough,2010-03,110.0,632,186,0.062,340000.0,241,0.916,186,1508.0,0.032
Bronx,Bronx,borough,2010-04,90.5,679,154,0.066,321500.0,218,0.897,154,1508.0,0.019
Bronx,Bronx,borough,2010-05,116.5,611,138,0.098,335000.0,251,0.938,138,1600.0,0.0
Bronx,Bronx,borough,2010-06,211.0,611,119,0.079,338737.0,464,0.908,119,1500.0,0.017
Bronx,Bronx,borough,2010-07,87.0,609,107,0.077,310000.0,221,0.887,107,1529.0,0.019
Bronx,Bronx,borough,2010-08,132.0,585,109,0.062,334664.0,226,0.931,109,1600.0,0.037
Bronx,Bronx,borough,2010-09,109.0,581,81,0.059,349950.0,258,0.872,81,1600.0,0.086
Bronx,Bronx,borough,2010-10,140.0,583,97,0.099,303750.0,168,0.881,97,1500.0,0.082
Bronx,Bronx,borough,2010-11,114.0,560,101,0.061,303693.0,188,0.88,101,1600.0,0.02
Bronx,Bronx,borough,2010-12,131.0,549,104,0.067,332400.0,216,0.934,104,1600.0,0.029
Bronx,Bronx,borough,2011-01,123.0,615,117,0.073,337500.0,184,0.929,117,1595.0,0.094
Bronx,Bronx,borough,2011-02,,602,103,0.076,214300.0,258,0.918,103,1550.0,0.049
Bronx,Bronx,borough,2011-03,157.0,678,115,0.096,327000.0,235,0.932,115,1600.0,0.061
Bronx,Bronx,borough,2011-04,159.0,705,123,0.085,300000.0,222,0.894,123,1600.0,0.089
Bronx,Bronx,borough,2011-05,,790,156,0.108,280000.0,233,0.919,156,1498.0,0.071
Bronx,Bronx,borough,2011-06,135.5,817,165,0.102,220592.5,300,0.878,165,1450.0,0.061
Bronx,Bronx,borough,2011-07,98.5,796,166,0.088,320000.0,231,0.885,166,1563.0,0.042
Bronx,Bronx,borough,2011-08,93.0,780,179,0.073,315000.0,225,0.912,179,1500.0,0.084
Bronx,Bronx,borough,2011-09,,724,180,0.094,325000.0,204,0.887,180,1363.0,0.117
Bronx,Bronx,borough,2011-10,,720,188,0.107,309000.0,220,0.893,188,1397.0,0.112
Bronx,Bronx,borough,2011-11,169.0,740,179,0.078,310000.0,195,0.959,179,1399.0,0.089
Bronx,Bronx,borough,2011-12,,709,166,0.058,305000.0,243,0.899,166,1399.0,0.054
Bronx,Bronx,borough,2012-01,123.0,706,181,0.086,275000.0,172,0.875,181,1400.0,0.099
Bronx,Bronx,borough,2012-02,,709,188,0.075,310000.0,219,0.917,188,1550.0,0.053
Bronx,Bronx,borough,2012-03,143.0,750,200,0.108,275000.0,212,0.9,200,1500.0,0.13
Bronx,Bronx,borough,2012-04,176.5,791,195,0.083,325000.0,180,0.924,195,1500.0,0.103
Bronx,Bronx,borough,2012-05,204.0,796,198,0.127,317500.0,246,0.889,198,1475.0,0.086
Bronx,Bronx,borough,2012-06,128.5,796,219,0.088,320000.0,241,0.882,219,1400.0,0.032
Bronx,Bronx,borough,2012-07,134.0,822,247,0.085,310000.0,257,0.907,247,1499.0,0.069
Bronx,Bronx,borough,2012-08,129.0,799,230,0.074,299500.0,248,0.919,230,1500.0,0.091
Bronx,Bronx,borough,2012-09,113.0,791,227,0.101,345000.0,231,0.903,227,1400.0,0.132
Bronx,Bronx,borough,2012-10,169.5,783,284,0.091,329000.0,245,0.922,284,1500.0,0.134
Bronx,Bronx,borough,2012-11,125.0,757,319,0.067,300000.0,211,0.945,319,1600.0,0.082
Bronx,Bronx,borough,2012-12,133.5,732,223,0.059,300000.0,272,0.92,223,1500.0,0.058
Bronx,Bronx,borough,2013-01,175.0,748,208,0.079,311460.0,211,0.95,208,1413.0,0.13
Bronx,Bronx,borough,2013-02,67.0,736,194,0.076,315861.0,225,0.902,194,1423.0,0.113
Bronx,Bronx,borough,2013-03,108.0,793,198,0.071,325928.0,228,0.918,198,1475.0,0.106
Bronx,Bronx,borough,2013-04,204.0,836,217,0.092,310050.0,245,0.936,217,1500.0,0.097
Bronx,Bronx,borough,2013-05,210.0,849,221,0.067,314500.0,232,0.922,221,1575.0,0.09
Bronx,Bronx,borough,2013-06,164.0,867,226,0.108,303632.0,255,0.914,226,1525.0,0.035
Bronx,Bronx,borough,2013-07,149.0,853,251,0.084,305796.0,309,0.924,251,1490.0,0.096
Bronx,Bronx,borough,2013-08,130.0,860,243,0.07,344000.0,271,0.951,243,1575.0,0.107
Bronx,Bronx,borough,2013-09,165.0,843,228,0.085,324150.0,264,0.928,228,1550.0,0.096
Bronx,Bronx,borough,2013-10,139.0,837,230,0.1,300000.0,342,0.939,230,1450.0,0.109
Bronx,Bronx,borough,2013-11,194.0,813,256,0.068,325000.0,279,0.944,256,1499.0,0.09
Bronx,Bronx,borough,2013-12,127.5,777,259,0.055,295590.0,302,0.933,259,1500.0,0.108
Bronx,Bronx,borough,2014-01,143.5,786,273,0.071,330000.0,187,0.935,273,1499.0,0.092
Bronx,Bronx,borough,2014-02,111.0,761,302,0.053,360000.0,218,0.896,302,1550.0,0.06
Bronx,Bronx,borough,2014-03,119.5,815,323,0.069,320000.0,266,0.903,323,1600.0,0.056
Bronx,Bronx,borough,2014-04,162.0,788,319,0.074,290000.0,264,0.949,319,1600.0,0.119
Bronx,Bronx,borough,2014-05,148.0,821,324,0.091,315000.0,279,0.95,324,1600.0,0.083
Bronx,Bronx,borough,2014-06,153.0,794,369,0.091,321250.0,308,0.934,369,1700.0,0.098
Bronx,Bronx,borough,2014-07,181.0,800,493,0.091,330000.0,332,0.94,493,1550.0,0.061
Bronx,Bronx,borough,2014-08,115.0,848,560,0.067,350000.0,298,0.939,560,1500.0,0.077
Bronx,Bronx,borough,2014-09,101.0,840,592,0.077,330500.0,300,0.944,592,1475.0,0.073
Bronx,Bronx,borough,2014-10,70.0,812,577,0.069,334400.0,353,0.952,577,1425.0,0.088
Bronx,Bronx,borough,2014-11,79.5,777,625,0.064,312000.0,281,0.962,625,1450.0,0.053
Bronx,Bronx,borough,2014-12,85.5,731,656,0.052,350000.0,345,0.938,656,1450.0,0.067
