#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
1,10577,"41.041731, -73.709727","Purchase, New York","3,454","$183,686.00 ",#4
2,10514,"41.172330, -73.768948","Chappaqua, New York","12,004","$173,368.00 ",#6
3,11568,"40.786513, -73.598478","Old Westbury, New York","3,992","$163,046.00 ",#9
4,10503,"41.025560, -73.874987","Ardsley On Hudson, New York",115,"$157,816.00 ",#13
5,10518,"41.277016, -73.602519","Cross River, New York","1,552","$156,190.00 ",#14
6,10506,"41.190889, -73.638479","Bedford, New York","5,537","$153,632.00 ",#17
7,10576,"41.221577, -73.572332","Pound Ridge, New York","4,530","$152,863.00 ",#18
8,13475,"42.866228, -74.853412","Van Hornesville, New York",7,"$152,338.00 ",#20
9,11576,"40.803242, -73.637480","Roslyn, New York","11,810","$134,325.00 ",#42
10,10510,"41.138997, -73.834891","Briarcliff Manor, New York","9,963","$131,402.00 ",#48
11,10504,"41.134968, -73.698635","Armonk, New York","7,185","$130,789.00 ",#50
12,10501,"41.288104, -73.759211","Amawalk, New York",843,"$129,692.00 ",#54
13,10804,"40.946841, -73.788051","New Rochelle, New York","14,131","$126,480.00 ",#66
14,11030,"40.793409, -73.688549","Manhasset, New York","17,148","$125,425.00 ",#71
15,11724,"40.856500, -73.452894","Cold Spring Harbor, New York","3,040","$123,973.00 ",#76
16,11765,"40.881909, -73.553311","Mill Neck, New York",732,"$122,956.00 ",#79
17,11797,"40.820348, -73.472077","Woodbury, New York","9,005","$122,758.00 ",#81
18,10583,"40.988682, -73.789204","Scarsdale, New York","39,091","$122,234.00 ",#82
19,11020,"40.770007, -73.712974","Great Neck, New York","4,043","$118,019.00 ",#99
20,10597,"41.292024, -73.606222","Waccabuc, New York",445,"$115,574.00 ",#115
21,10546,"41.203621, -73.796171","Millwood, New York","1,224","$115,207.00 ",#117
22,10526,"41.294835, -73.662114","Goldens Bridge, New York","1,652","$114,496.00 ",#122
23,10580,"40.978942, -73.693320","Rye, New York","16,737","$114,164.00 ",#123
24,10527,"41.321183, -73.769878","Granite Springs, New York","1,097","$114,106.00 ",#124
25,10007,"40.713973, -74.008336","New York, New York","3,522","$112,947.00 ",#132
26,10538,"40.937865, -73.755930","Larchmont, New York","16,780","$111,492.00 ",#142
27,11024,"40.816373, -73.743736","Great Neck, New York","7,564","$110,806.00 ",#143
28,10536,"41.296920, -73.729864","Katonah, New York","10,612","$109,542.00 ",#151
29,10280,"40.708501, -74.016828","New York, New York","6,614","$108,536.00 ",#157
30,10162,"40.769298, -73.949942","New York, New York","1,726","$108,416.00 ",#158
31,11753,"40.788668, -73.541676","Jericho, New York","11,648","$106,973.00 ",#168
32,10994,"41.098072, -73.972649","West Nyack, New York","6,493","$106,416.00 ",#174
33,10502,"41.014059, -73.839744","Ardsley, New York","4,935","$106,027.00 ",#177
34,10004,"40.691870, -74.014109","New York, New York","1,225","$101,868.00 ",#238
35,10560,"41.340527, -73.597609","North Salem, New York","4,941","$101,484.00 ",#244
36,10590,"41.255441, -73.539322","South Salem, New York","7,212","$101,226.00 ",#246
37,11545,"40.824966, -73.581551","Glen Head, New York","12,073","$100,210.00 ",#265
38,10570,"41.127957, -73.790628","Pleasantville, New York","12,366","$100,196.00 ",#266
39,11598,"40.631555, -73.711280","Woodmere, New York","13,226","$99,595.00 ",#278
40,11791,"40.829724, -73.498525","Syosset, New York","24,445","$99,280.00 ",#281
41,11733,"40.934181, -73.105889","East Setauket, New York","20,382","$98,056.00 ",#302
42,11530,"40.728551, -73.631351","Garden City, New York","26,482","$97,918.00 ",#303
43,11023,"40.799784, -73.733445","Great Neck, New York","8,501","$97,364.00 ",#312
44,11577,"40.784638, -73.640578","Roslyn Heights, New York","12,176","$97,275.00 ",#314
45,10533,"41.039478, -73.850709","Irvington, New York","7,464","$94,928.00 ",#354
46,10956,"41.156331, -73.994110","New City, New York","31,071","$94,838.00 ",#356
47,10607,"41.039089, -73.811368","White Plains, New York","7,493","$93,268.00 ",#387
48,11804,"40.766708, -73.451812","Old Bethpage, New York","5,014","$92,090.00 ",#412
49,11747,"40.788528, -73.407298","Melville, New York","16,152","$92,024.00 ",#414
50,11768,"40.910132, -73.324377","Northport, New York","21,676","$90,630.00 ",#441
51,11803,"40.781700, -73.473035","Plainview, New York","27,767","$90,511.00 ",#443
52,10803,"40.899532, -73.805883","Pelham, New York","12,124","$90,261.00 ",#451
53,11721,"40.892021, -73.370810","Centerport, New York","6,218","$90,193.00 ",#455
54,10706,"40.990222, -73.865543","Hastings On Hudson, New York","9,187","$89,952.00 ",#461
55,11718,"40.723177, -73.268488","Brightwaters, New York","3,061","$88,554.00 ",#496
56,14051,"43.039886, -78.704186","East Amherst, New York","17,991","$88,317.00 ",#502
57,10069,"40.775551, -73.989689","New York, New York","1,403","$88,091.00 ",#507
58,11557,"40.635065, -73.691343","Hewlett, New York","7,966","$88,075.00 ",#508
59,10913,"41.068258, -73.954975","Blauvelt, New York","5,076","$87,866.00 ",#516
60,11566,"40.651637, -73.551927","Merrick, New York","35,606","$87,842.00 ",#518
61,14534,"43.056890, -77.521042","Pittsford, New York","30,270","$87,126.00 ",#549
62,10984,"41.202903, -74.022265","Thiells, New York","2,298","$87,082.00 ",#553
63,11743,"40.878517, -73.426767","Huntington, New York","41,566","$86,913.00 ",#561
64,11509,"40.587962, -73.729710","Atlantic Beach, New York","2,861","$86,784.00 ",#566
65,10964,"41.017211, -73.913870","Palisades, New York","1,282","$86,592.00 ",#574
66,10282,"40.717017, -74.015566","New York, New York","1,574","$86,066.00 ",#591
