,precint,2022,2021
0,75,3921,3497
1,77,1292,976
2,79,1338,1298
3,81,1219,1136
4,83,1895,1530
5,84,1141,992
6,88,806,669
7,90,1532,1210
8,94,1319,932
9,61,1576,1017
10,62,1317,1100
11,63,1026,809
12,66,1197,912
13,67,2037,1711
14,68,826,707
15,69,789,630
16,70,1351,1329
17,71,1121,891
18,72,1615,1139
19,76,540,381
20,40,2719,2191
21,41,1622,1140
22,42,2160,1847
23,43,3314,2633
24,44,3379,2568
25,45,1440,1286
26,46,2066,1901
27,47,2618,2366
28,48,2037,1687
29,49,1682,1336
30,50,1455,959
31,52,2039,1911
32,19,2490,1853
33,20,1211,1060
34,22,74,58
35,23,1309,1071
36,24,1095,989
37,25,1519,1145
38,26,770,613
39,28,984,976
40,30,834,770
41,32,1321,1234
42,33,969,1075
43,34,1564,1388
44,1,1744,1306
45,5,1108,773
46,6,2195,1465
47,7,1327,1036
48,9,1826,1539
49,10,1217,957
50,13,1754,1459
51,14,3998,2670
52,17,1082,909
53,18,2548,1780
54,108,1449,1135
55,109,2922,1881
56,110,2399,1836
57,111,1221,790
58,112,864,636
59,114,2173,1784
60,115,2104,1724
61,100,432,327
62,101,624,675
63,102,1331,994
64,103,1941,1576
65,105,1668,1333
66,106,1546,1323
67,107,1491,1049
68,113,1289,1206
69,120,1050,769
70,121,864,680
71,122,744,631
72,123,486,308
