zip,city,county,population
10025,New York City,Manhattan,92162
10029,New York City,Manhattan,74617
10002,New York City,Manhattan,74363
10027,New York City,Manhattan,64728
10023,New York City,Manhattan,62228
10024,New York City,Manhattan,60714
10031,New York City,Manhattan,60280
10032,New York City,Manhattan,59527
10033,New York City,Manhattan,58648
10009,New York City,Manhattan,58267
10128,New York City,Manhattan,57993
10003,New York City,Manhattan,54671
10016,New York City,Manhattan,52912
10011,New York City,Manhattan,50228
10028,New York City,Manhattan,47962
10019,New York City,Manhattan,45521
10040,New York City,Manhattan,45197
10021,New York City,Manhattan,42253
10034,New York City,Manhattan,41933
10026,New York City,Manhattan,38937
10035,New York City,Manhattan,36999
10010,New York City,Manhattan,34763
10022,New York City,Manhattan,31574
10030,New York City,Manhattan,30996
10014,New York City,Manhattan,29071
10013,New York City,Manhattan,28657
10036,New York City,Manhattan,28231
10039,New York City,Manhattan,27090
10001,New York City,Manhattan,25026
10038,New York City,Manhattan,24205
10012,New York City,Manhattan,23034
10037,New York City,Manhattan,19177
10017,New York City,Manhattan,16065
10044,New York City,Manhattan,12770
10280,New York City,Manhattan,9372
10005,New York City,Manhattan,8664
10018,New York City,Manhattan,8135
10007,New York City,Manhattan,7566
10069,New York City,Manhattan,6504
10282,New York City,Manhattan,6086
10004,New York City,Manhattan,3310
10006,New York City,Manhattan,3260
10162,New York City,Manhattan,1240
10279,New York City,Manhattan,96
10020,New York City,Manhattan,0
10103,New York City,Manhattan,0
10110,New York City,Manhattan,0
10111,New York City,Manhattan,0
10112,New York City,Manhattan,0
10115,New York City,Manhattan,0
10119,New York City,Manhattan,0
10152,New York City,Manhattan,0
10153,New York City,Manhattan,0
10154,New York City,Manhattan,0
10165,New York City,Manhattan,0
10167,New York City,Manhattan,0
10168,New York City,Manhattan,0
10169,New York City,Manhattan,0
10170,New York City,Manhattan,0
10171,New York City,Manhattan,0
10172,New York City,Manhattan,0
10173,New York City,Manhattan,0
10174,New York City,Manhattan,0
10177,New York City,Manhattan,0
10199,New York City,Manhattan,0
10271,New York City,Manhattan,0
10278,New York City,Manhattan,0
11368,Corona,Queens,108661
11385,Ridgewood,Queens,105025
11373,Elmhurst,Queens,96495
11377,Woodside,Queens,82021
11355,Flushing,Queens,81358
11375,Forest Hills,Queens,72615
11691,Far Rockaway,Queens,68454
